Title,Description,Published At,URL,text,Manual Bias
"DMK government not fulfilling JACTTO-GEO’s demands, says Vijay","In a statement, he contends that the government only holds talks with protesters for eye wash",2025-03-23T13:33:39+00:00,https://www.thehindu.com/news/national/tamil-nadu/dmk-government-not-fulfilling-jactto-geos-demands-says-vijay/article69365069.ece,"DMK government not fulfilling JACTTO-GEO’s demands, says Vijay. In a statement, he contends that the government only holds talks with protesters for eye wash",Left-wing
"APTD, APTF jointly organise roadshow in Chhattisgarh","Ajay Jain, Special Chief Secretary to Government, Tourism & Culture, A.P. Government and Vivek Acharya, MD Chhattisgarh Tourism Board, Government of Chhattisgarh, participated as guests",2025-03-23T10:06:14+00:00,https://www.thehindu.com/news/national/andhra-pradesh/aptd-aptf-jointly-organise-roadshow-in-chhattisgarh/article69364523.ece,"APTD, APTF jointly organise roadshow in Chhattisgarh. Ajay Jain, Special Chief Secretary to Government, Tourism & Culture, A.P. Government and Vivek Acharya, MD Chhattisgarh Tourism Board, Government of Chhattisgarh, participated as guests",Right-wing
"INDIA bloc parties need to have a cohesive policy, ideological framework for the future, says Sibal","INDIA should appear to be a ""bloc and not un-bloc"" itself in the manner that it does in the public domain, Rajya Sabha MP Kapil Sibal",2025-03-23T07:32:18+00:00,https://www.thehindu.com/news/national/india-bloc-parties-need-to-have-a-cohesive-policy-ideological-framework-for-the-future-says-sibal/article69364431.ece,"INDIA bloc parties need to have a cohesive policy, ideological framework for the future, says Sibal. INDIA should appear to be a ""bloc and not un-bloc"" itself in the manner that it does in the public domain, Rajya Sabha MP Kapil Sibal",Left-wing
U.K. government orders probe into Heathrow shutdown that sparked concern over energy resilience,"Heathrow announced its own review, to be led by former transport secretary Ruth Kelly, a member of the airport's board",2025-03-23T04:03:53+00:00,https://www.thehindu.com/news/international/uk-government-orders-probe-into-heathrow-shutdown-that-sparked-concern-over-energy-resilience/article69364270.ece,"U.K. government orders probe into Heathrow shutdown that sparked concern over energy resilience. Heathrow announced its own review, to be led by former transport secretary Ruth Kelly, a member of the airport's board",Neutral
Why is uploading voting data a challenge?,Why does the Election Commission of India find it difficult to disclose absolute numbers of booth-wise votes cast in elections? What do the Opposition and activists want? What are the two parts of Form 17C? What are some of the discrepancies that have been pointed out?,2025-03-23T01:14:00+00:00,https://www.thehindu.com/news/national/why-is-uploading-voting-data-a-challenge/article69362983.ece,Why is uploading voting data a challenge?. Why does the Election Commission of India find it difficult to disclose absolute numbers of booth-wise votes cast in elections? What do the Opposition and activists want? What are the two parts of Form 17C? What are some of the discrepancies that have been pointed out?,Neutral
Government withdraws 20% export duty on onion effective April 1,The Consumer Affairs Ministry says the “decision stands as another testament to the govt’s commitment to ensuring remunerative prices to farmers while maintaining affordability of onions to consumers”,2025-03-22T20:21:12+00:00,https://www.thehindu.com/business/Economy/government-withdraws-20-export-duty-on-onion-effective-april-1/article69363054.ece,Government withdraws 20% export duty on onion effective April 1. The Consumer Affairs Ministry says the “decision stands as another testament to the govt’s commitment to ensuring remunerative prices to farmers while maintaining affordability of onions to consumers”,Right-wing
‘Active participation of citizens in law reforms is essential to protect rights amid societal changes’,"Every law reform may not be met with unanimous acceptance; laws are in place to uphold the fundamental rights of every citizen; laws govern every phase of people’s life, said a Madras High Court advocate",2025-03-22T18:21:30+00:00,https://www.thehindu.com/news/cities/chennai/active-participation-of-citizens-in-law-reforms-is-essential-to-protect-rights-amid-societal-changes/article69361923.ece,"‘Active participation of citizens in law reforms is essential to protect rights amid societal changes’. Every law reform may not be met with unanimous acceptance; laws are in place to uphold the fundamental rights of every citizen; laws govern every phase of people’s life, said a Madras High Court advocate",Neutral
Five-day long Bihar Diwas celebrations begin at Patna’s Gandhi Maidan,Various government departments have set up stalls providing information about ongoing government schemes,2025-03-22T18:17:15+00:00,https://www.thehindu.com/news/national/bihar/five-day-long-bihar-diwas-celebrations-begin-at-patnas-gandhi-maidan/article69362581.ece,Five-day long Bihar Diwas celebrations begin at Patna’s Gandhi Maidan. Various government departments have set up stalls providing information about ongoing government schemes,Neutral
"India was aware of anti-Hasina wave but could not interfere, says Jaishankar","EAM briefs Members of Parliament on India’s foreign policy with regard to Bangladesh, Myanmar, says ‘SAARC is not off the table’",2025-03-22T18:11:11+00:00,https://www.thehindu.com/news/national/india-was-aware-of-anti-hasina-wave-but-could-not-interfere-says-jaishankar/article69362726.ece,"India was aware of anti-Hasina wave but could not interfere, says Jaishankar. EAM briefs Members of Parliament on India’s foreign policy with regard to Bangladesh, Myanmar, says ‘SAARC is not off the table’",Right-wing
BRS leader Rama Rao proposes delimitation based on fiscal contribution and development,"Mr. Rao pitches 36% representation in Parliament for the Southern States, says South should not be penalised for doing exceptionally well in political, economic and other indicators",2025-03-22T17:44:22+00:00,https://www.thehindu.com/news/national/brs-leader-rama-rao-proposes-delimitation-based-on-fiscal-contribution-and-development/article69362604.ece,"BRS leader Rama Rao proposes delimitation based on fiscal contribution and development. Mr. Rao pitches 36% representation in Parliament for the Southern States, says South should not be penalised for doing exceptionally well in political, economic and other indicators",Right-wing
Telangana and Punjab CMs chime in with opposition to delimitation,"‘The south Indian States could not accept the proposed delimitation as it would politically limit the States and punish them for performing well,’ Telangana Chief Minister Revanth Reddy said",2025-03-22T16:58:04+00:00,https://www.thehindu.com/news/national/telangana-and-punjab-cms-chime-in-with-opposition-to-delimitation/article69362624.ece,"Telangana and Punjab CMs chime in with opposition to delimitation. ‘The south Indian States could not accept the proposed delimitation as it would politically limit the States and punish them for performing well,’ Telangana Chief Minister Revanth Reddy said",Left-wing
BJP to hold election for State president on Monday,"It will be a token election, with a leader already selected by the Central leadership set to file the nomination, say sources",2025-03-22T15:56:58+00:00,https://www.thehindu.com/news/national/kerala/bjp-to-hold-election-for-state-president-on-monday/article69362390.ece,"BJP to hold election for State president on Monday. It will be a token election, with a leader already selected by the Central leadership set to file the nomination, say sources",Right-wing
New policy on tolls before April 1: Nitin Gadkari at BT MindRush,The government is set to roll out a new toll policy before April 1 with reasonable concession for commuters.,2025-03-22T15:50:17+00:00,https://www.businesstoday.in/latest/economy/story/new-policy-on-tolls-before-april-1-nitin-gadkari-at-bt-mindrush-468986-2025-03-22?utm_source=rssfeed,New policy on tolls before April 1: Nitin Gadkari at BT MindRush. The government is set to roll out a new toll policy before April 1 with reasonable concession for commuters.,Right-wing
Young India Skills University workshop with Government Degree Colleges ,Young India Skills University workshop with Government Degree Colleges ,2025-03-22T14:58:02+00:00,https://www.thehindu.com/news/national/telangana/young-india-skills-university-workshop-with-government-degree-colleges/article69362212.ece,Young India Skills University workshop with Government Degree Colleges . Young India Skills University workshop with Government Degree Colleges ,Neutral
CPI urges government to expedite process of setting up textile park in Puducherry,CPI urges government to expedite process of setting up textile park in Puducherry,2025-03-22T14:47:10+00:00,https://www.thehindu.com/news/cities/puducherry/cpi-urges-government-to-expedite-process-of-setting-up-textile-park-in-puducherry/article69361117.ece,CPI urges government to expedite process of setting up textile park in Puducherry. CPI urges government to expedite process of setting up textile park in Puducherry,Neutral
Participatory disaster management project launched in Wayanad,"The core objectives of the project include establishing local weather monitoring systems, empowering communities to anticipate potential disasters, and developing effective mitigation mechanisms in coordination with local governing bodies",2025-03-22T14:33:14+00:00,https://www.thehindu.com/news/national/kerala/participatory-disaster-management-project-launched-in-wayanad/article69361971.ece,"Participatory disaster management project launched in Wayanad. The core objectives of the project include establishing local weather monitoring systems, empowering communities to anticipate potential disasters, and developing effective mitigation mechanisms in coordination with local governing bodies",Left-wing
India among few that can engage Russia and Ukraine: S. Jaishankar at BT MindRush,"Dr S Jaishankar noted the mantra of 'Sabka ssaath, Sabka Vikaas', adopted by the Centre, applied to foreign policy as well.",2025-03-22T14:09:49+00:00,https://www.businesstoday.in/latest/economy/story/india-among-few-that-can-engage-russia-and-ukraine-s-jaishankar-at-bt-mindrush-468969-2025-03-22?utm_source=rssfeed,"India among few that can engage Russia and Ukraine: S. Jaishankar at BT MindRush. Dr S Jaishankar noted the mantra of 'Sabka ssaath, Sabka Vikaas', adopted by the Centre, applied to foreign policy as well.",Right-wing
United Democratic Front plans series of protests in April,Coastal march will be organised from April 21 to April 29 in protest against Centre’s offshore sand mining proposal and the State government’s lukewarm opposition to it,2025-03-22T14:03:50+00:00,https://www.thehindu.com/news/national/kerala/united-democratic-front-plans-series-of-protests-in-april/article69361868.ece,United Democratic Front plans series of protests in April. Coastal march will be organised from April 21 to April 29 in protest against Centre’s offshore sand mining proposal and the State government’s lukewarm opposition to it,Left-wing
BJP demands CID inquiry into alleged foreign currency scam at Tirumala,"Hundreds of crore worth of foreign currency deposited into hundi by devotees were stolen during the previous YSRCP government’s rule and the case was improperly settled in Lok Adalat in violation of the existing rules and regulations, alleges G. Bhanuprakash Reddy",2025-03-22T14:01:27+00:00,https://www.thehindu.com/news/national/andhra-pradesh/bjp-demands-cid-inquiry-into-alleged-foreign-currency-scam-at-tirumala/article69361650.ece,"BJP demands CID inquiry into alleged foreign currency scam at Tirumala. Hundreds of crore worth of foreign currency deposited into hundi by devotees were stolen during the previous YSRCP government’s rule and the case was improperly settled in Lok Adalat in violation of the existing rules and regulations, alleges G. Bhanuprakash Reddy",Right-wing
"Delimitation: ensure justice to all States by making Constitutional amendment, Jagan tells PM ","In a letter, YSRCP chief draws Modi’s attention to the potential for significant erosion of southern State’s participation in national policy making if delimitation is conducted on the basis of their population as it stands today",2025-03-22T13:37:39+00:00,https://www.thehindu.com/news/national/andhra-pradesh/delimitation-ensure-justice-to-all-states-by-making-constitutional-amendment-jagan-tells-pm/article69361195.ece,"Delimitation: ensure justice to all States by making Constitutional amendment, Jagan tells PM . In a letter, YSRCP chief draws Modi’s attention to the potential for significant erosion of southern State’s participation in national policy making if delimitation is conducted on the basis of their population as it stands today",Left-wing
Over 250 T.N. government schoolchildren to attend State-level workshops,"According to an official from the School Education Department, the workshops are the culmination of the club activities conducted throughout the year in government schools",2025-03-22T08:12:59+00:00,https://www.thehindu.com/news/cities/chennai/over-250-tn-government-schoolchildren-to-attend-state-level-workshops/article69353185.ece,"Over 250 T.N. government schoolchildren to attend State-level workshops. According to an official from the School Education Department, the workshops are the culmination of the club activities conducted throughout the year in government schools",Neutral
Unified Pension Scheme: Who all will qualify for 50% guaranteed pension under UPS from April 1,"Central government employees who are already enrolled in NPS can choose to transition to UPS, which promises a pension amounting to 50% of the average basic salary in the last 12 months before retirement.",2025-03-22T07:26:54+00:00,https://www.businesstoday.in/personal-finance/retirement-planning/story/unified-pension-scheme-who-all-will-qualify-for-50-guaranteed-pension-under-ups-from-april-1-468879-2025-03-22?utm_source=rssfeed,"Unified Pension Scheme: Who all will qualify for 50% guaranteed pension under UPS from April 1. Central government employees who are already enrolled in NPS can choose to transition to UPS, which promises a pension amounting to 50% of the average basic salary in the last 12 months before retirement.",Neutral
‘China is three moves ahead…’: CA decodes how India is being boxed out of global manufacturing,"While India hosts summits and drafts policy documents, Beijing, he says, is redrawing the global supply chain map — calmly, surgically, and without firing a shot.",2025-03-22T07:19:02+00:00,https://www.businesstoday.in/latest/economy/story/china-is-three-moves-ahead-ca-decodes-how-india-is-being-boxed-out-of-global-manufacturing-468875-2025-03-22?utm_source=rssfeed,"‘China is three moves ahead…’: CA decodes how India is being boxed out of global manufacturing. While India hosts summits and drafts policy documents, Beijing, he says, is redrawing the global supply chain map — calmly, surgically, and without firing a shot.",Neutral
"India strongly registered its concerns with U.S. authorities on treatment meted out to deportees, says Government",The MEA was asked whether the government has taken cognisance of reports about Indian deportees being shackled during their repatriation by the U.S. Immigration and Customs Enforcement,2025-03-22T07:08:02+00:00,https://www.thehindu.com/news/national/india-strongly-registered-its-concerns-with-us-authorities-on-treatment-meted-out-to-deportees-says-government/article69360949.ece,"India strongly registered its concerns with U.S. authorities on treatment meted out to deportees, says Government. The MEA was asked whether the government has taken cognisance of reports about Indian deportees being shackled during their repatriation by the U.S. Immigration and Customs Enforcement",Right-wing
"Trump pulls security clearances for Biden, Harris and Hillary Clinton","While the revocations may not have immediate impacts, it is another sign of the growing political rift in Washington as Mr. Trump seeks revenge on his perceived enemies",2025-03-22T05:26:36+00:00,https://www.thehindu.com/news/international/trump-pulls-security-clearances-for-biden-harris-and-hillary-clinton/article69360793.ece,"Trump pulls security clearances for Biden, Harris and Hillary Clinton. While the revocations may not have immediate impacts, it is another sign of the growing political rift in Washington as Mr. Trump seeks revenge on his perceived enemies",Right-wing
Live in Delhi or Mumbai? You could be paying double for the same health cover,"In India, insurers divide locations into risk-based zones, and your zone directly affects the price you pay for a health policy—even if the coverage remains the same.",2025-03-22T02:29:28+00:00,https://www.businesstoday.in/personal-finance/insurance/story/live-in-delhi-or-mumbai-you-could-be-paying-double-for-the-same-health-insurance-468854-2025-03-22?utm_source=rssfeed,"Live in Delhi or Mumbai? You could be paying double for the same health cover. In India, insurers divide locations into risk-based zones, and your zone directly affects the price you pay for a health policy—even if the coverage remains the same.",Neutral
"Elon Musk holds unprecedented Pentagon meeting, wants leakers prosecuted","Mr. Musk met U.S. Defence Secretary Pete Hegseth for 80 minutes in his first such talks at the Pentagon, which is responsible for a large chunk of federal government spending. It was unclear whether U.S. generals joined that meeting virtually",2025-03-22T01:32:41+00:00,https://www.thehindu.com/news/international/elon-musk-holds-unprecedented-pentagon-meeting-wants-leakers-prosecuted/article69360581.ece,"Elon Musk holds unprecedented Pentagon meeting, wants leakers prosecuted. Mr. Musk met U.S. Defence Secretary Pete Hegseth for 80 minutes in his first such talks at the Pentagon, which is responsible for a large chunk of federal government spending. It was unclear whether U.S. generals joined that meeting virtually",Right-wing
Amit Shah takes 'kaala chashma' jibe at Rahul Gandhi,"Mr. Shah said that whenever we see a terrorist, we shoot right between the eyes. Our government can neither tolerate terrorism nor terrorists",2025-03-22T00:58:49+00:00,https://www.thehindu.com/news/national/amit-shah-takes-kaala-chashma-jibe-at-rahul-gandhi/article69360575.ece,"Amit Shah takes 'kaala chashma' jibe at Rahul Gandhi. Mr. Shah said that whenever we see a terrorist, we shoot right between the eyes. Our government can neither tolerate terrorism nor terrorists",Right-wing
Bangladesh government says will not ban ousted PM's party,"Interim government refuses to ban ousted premier’s party, sparking backlash from student revolutionaries in Bangladesh",2025-03-21T18:03:35+00:00,https://www.thehindu.com/news/international/bangladesh-government-says-will-not-ban-ousted-pms-party/article69358336.ece,"Bangladesh government says will not ban ousted PM's party. Interim government refuses to ban ousted premier’s party, sparking backlash from student revolutionaries in Bangladesh",Right-wing
Government mulls free power supply for anganwadi centres  ,"Over 12,000 centres have pending electricity bill dues towards various escoms",2025-03-21T17:33:25+00:00,https://www.thehindu.com/news/national/karnataka/government-mulls-free-power-supply-for-anganwadi-centres/article69340801.ece,"Government mulls free power supply for anganwadi centres  . Over 12,000 centres have pending electricity bill dues towards various escoms",Neutral
Chhattisgarh government announces special incentives for ‘Maoism free’ Panchayats,"Under the scheme, a panchayat would have to facilitate the surrender of every resident of its constituent villages who had been involved in the activities",2025-03-21T16:51:41+00:00,https://www.thehindu.com/news/national/chhattisgarh/chhattisgarh-government-announces-special-incentives-for-maoism-free-panchayats/article69358533.ece,"Chhattisgarh government announces special incentives for ‘Maoism free’ Panchayats. Under the scheme, a panchayat would have to facilitate the surrender of every resident of its constituent villages who had been involved in the activities",Neutral
"Union government has been ‘tenacious’ in refusing funds due to Tamil Nadu, says Finance Minister","Union government has been ‘tenacious’ in refusing funds due to Tamil Nadu, says Finance Minister",2025-03-21T16:32:05+00:00,https://www.thehindu.com/news/national/tamil-nadu/union-government-has-been-tenacious-in-refusing-funds-due-to-tamil-nadu-says-finance-minister/article69358816.ece,"Union government has been ‘tenacious’ in refusing funds due to Tamil Nadu, says Finance Minister. Union government has been ‘tenacious’ in refusing funds due to Tamil Nadu, says Finance Minister",Left-wing
"Pakistan might follow India’s 2019 Balakot style to eliminate…, Army chief’s big statement suggests …",The army chief's statement indicates a shift towards major policy changes.,2025-03-21T16:16:09+00:00,https://www.india.com/news/world/pakistan-might-follow-india-launch-balakot-style-attacks-inside-army-chief-asim-munirs-big-statement-suggests-islamabad-ttp-balochistan-iran-afghanistan-7700193/,"Pakistan might follow India’s 2019 Balakot style to eliminate…, Army chief’s big statement suggests …. The army chief's statement indicates a shift towards major policy changes.",Neutral
HC dismisses plea seeking direction to State government to conduct caste survey,HC dismisses plea seeking direction to State government to conduct caste survey,2025-03-21T14:58:51+00:00,https://www.thehindu.com/news/cities/Madurai/hc-dismisses-plea-seeking-direction-to-state-government-to-conduct-caste-survey/article69358867.ece,HC dismisses plea seeking direction to State government to conduct caste survey. HC dismisses plea seeking direction to State government to conduct caste survey,Neutral
Pilot project launched in Chittoor to empower farmers with digital technology,"‘Skill Up Chittoor’ initiative by the State government is envisaged to equip farmers with the knowledge about the latest technologies available from lab to land, and to leverage smartphones to obtain vital information regarding the agriculture patterns, market prices, and digital transactions",2025-03-21T14:46:27+00:00,https://www.thehindu.com/news/national/andhra-pradesh/pilot-project-launched-in-chittoor-to-empower-farmers-with-digital-technology/article69357926.ece,"Pilot project launched in Chittoor to empower farmers with digital technology. ‘Skill Up Chittoor’ initiative by the State government is envisaged to equip farmers with the knowledge about the latest technologies available from lab to land, and to leverage smartphones to obtain vital information regarding the agriculture patterns, market prices, and digital transactions",Neutral
"NDA partners are committed to serving people by rising above politics, says Nadendla Manohar ","We have a smooth, workable relationship, and are striving to give what the people need, irrespective of region, caste, or political allegiance, he asserts",2025-03-21T14:28:15+00:00,https://www.thehindu.com/news/national/andhra-pradesh/nda-partners-are-committed-to-serving-people-by-rising-above-politics-says-nadendla-manohar/article69358178.ece,"NDA partners are committed to serving people by rising above politics, says Nadendla Manohar . We have a smooth, workable relationship, and are striving to give what the people need, irrespective of region, caste, or political allegiance, he asserts",Right-wing
"Political parties, social welfare organisations to stage hunger strike in Erode district on March 24 urging PWD to prevent pollution of River Bhavani","Political parties, social welfare organisations to stage hunger strike in Erode district on March 24 urging PWD to prevent pollution of River Bhavani",2025-03-21T13:43:03+00:00,https://www.thehindu.com/news/cities/Coimbatore/political-parties-social-welfare-organisations-to-stage-hunger-strike-in-erode-district-on-march-24-urging-pwd-to-prevent-pollution-of-river-bhavani/article69357219.ece,"Political parties, social welfare organisations to stage hunger strike in Erode district on March 24 urging PWD to prevent pollution of River Bhavani. Political parties, social welfare organisations to stage hunger strike in Erode district on March 24 urging PWD to prevent pollution of River Bhavani",Neutral
"Cultural show, awareness session mark World Down Syndrome Day programme",District Early Intervention Centre of the K.A.P.V. Government Medical College organised the programme under the aegis of the Indian Academy of Paediatrics,2025-03-21T11:51:43+00:00,https://www.thehindu.com/news/cities/Tiruchirapalli/cultural-show-awareness-session-mark-world-down-syndrome-day-programme/article69357548.ece,"Cultural show, awareness session mark World Down Syndrome Day programme. District Early Intervention Centre of the K.A.P.V. Government Medical College organised the programme under the aegis of the Indian Academy of Paediatrics",Neutral
"In northeast, new era of development ushered in after Modi government came to power, says Amit Shah in Rajya Sabha",Union Home Minister Amit Shah was replying to the debate in Rajya Sabha on the working of the Home Ministry.,2025-03-21T11:10:49+00:00,https://www.thehindu.com/news/national/union-home-minister-amit-shah-reply-to-debate-in-rajya-sabha-on-march-21-2025/article69357727.ece,"In northeast, new era of development ushered in after Modi government came to power, says Amit Shah in Rajya Sabha. Union Home Minister Amit Shah was replying to the debate in Rajya Sabha on the working of the Home Ministry.",Neutral
Nepalese student who died at KIIT had filed harassment complaint 11 months before: Minister,"The Education Minister told the assembly that 19 people have so far appeared before the high-level committee set up by the State Government, to inquire into the girls's death and the subsequent harassment of those protesting it",2025-03-21T10:49:50+00:00,https://www.thehindu.com/news/national/odisha/nepalese-student-who-died-at-kiit-had-filed-harassment-complaint-11-months-before-minister/article69357661.ece,"Nepalese student who died at KIIT had filed harassment complaint 11 months before: Minister. The Education Minister told the assembly that 19 people have so far appeared before the high-level committee set up by the State Government, to inquire into the girls's death and the subsequent harassment of those protesting it",Right-wing
"Congress slams government over census delay, under-utilisation of Home Ministry funds","Congress criticises government for delayed census, underutilised budget, and security concerns in Rajya Sabha discussion.",2025-03-21T10:46:53+00:00,https://www.thehindu.com/news/national/congress-slams-government-over-census-delay-under-utilisation-of-home-ministry-funds/article69357674.ece,"Congress slams government over census delay, under-utilisation of Home Ministry funds. Congress criticises government for delayed census, underutilised budget, and security concerns in Rajya Sabha discussion.",Left-wing
Wayanad landslides: Kerala HC criticises Centre for not filing affidavit on March 31 deadline extension for rehab projects,"When the petition came up, Central government’s standing council submits that the deadline will be extended to December 31, 2025",2025-03-21T10:26:44+00:00,https://www.thehindu.com/news/national/kerala/wayanad-landslides-kerala-hc-criticises-centre-for-not-filing-affidavit-on-march-31-deadline-extension-for-rehab-projects/article69357537.ece,"Wayanad landslides: Kerala HC criticises Centre for not filing affidavit on March 31 deadline extension for rehab projects. When the petition came up, Central government’s standing council submits that the deadline will be extended to December 31, 2025",Left-wing
"LDF urges ASHAs, anganwadi workers in Kerala not to fall prey to ‘anti-government conspiracy’",LDF convener T.P. Ramakrishnan says ASHAs and anganwadi workers should join forces with LDF and strengthen the hands of Kerala government which is at the forefront of national struggle to force Centre to cede to justifiable demands,2025-03-21T08:12:31+00:00,https://www.thehindu.com/news/national/kerala/ldf-urges-ashas-anganwadi-workers-in-kerala-not-to-fall-prey-to-anti-government-conspiracy/article69357121.ece,"LDF urges ASHAs, anganwadi workers in Kerala not to fall prey to ‘anti-government conspiracy’. LDF convener T.P. Ramakrishnan says ASHAs and anganwadi workers should join forces with LDF and strengthen the hands of Kerala government which is at the forefront of national struggle to force Centre to cede to justifiable demands",Right-wing
My name is Mahmoud Khalil and I am a political prisoner: Columbia University student issues first statement after U.S. immigration arrest,"The detention of Khalil, a U.S. permanent resident, has been condemned by multiple human rights groups as an assault on free speech and due process",2025-03-21T04:33:21+00:00,https://www.thehindu.com/news/international/my-name-is-mahmoud-khalil-and-i-am-a-political-prisoner-columbia-university-student-issues-first-statement-after-us-immigration-arrest/article69356508.ece,"My name is Mahmoud Khalil and I am a political prisoner: Columbia University student issues first statement after U.S. immigration arrest. The detention of Khalil, a U.S. permanent resident, has been condemned by multiple human rights groups as an assault on free speech and due process",Right-wing
